return point 2, result=0.0006873607635498047, sub_result=0.0006875395774841309
return point 2, result=0.0006587505340576172, sub_result=0.0006589293479919434
return point 2, result=0.0006587505340576172, sub_result=0.0006589293479919434
return point 2, result=0.0006301403045654297, sub_result=0.0006303191184997559
return point 2, result=0.0006587505340576172, sub_result=0.0006589293479919434
return point 2, result=0.0006301403045654297, sub_result=0.0006303191184997559
return point 2, result=0.0006301403045654297, sub_result=0.0006303191184997559
return point 2, result=0.0006015300750732422, sub_result=0.0006017088890075684
return point 3, result=0.005157089233398437, sub_result=0.0051555633544921875
return point 2, result=0.0006320476531982422, sub_result=0.0006322264671325684
return point 2, result=0.0006072521209716797, sub_result=0.0006074309349060059
return point 2, result=0.0006034374237060547, sub_result=0.0006036162376403809
return point 2, result=0.0005786418914794922, sub_result=0.0005788207054138184
return point 2, result=0.0006034374237060547, sub_result=0.0006036162376403809
return point 2, result=0.0005786418914794922, sub_result=0.0005788207054138184
return point 2, result=0.0005748271942138672, sub_result=0.0005750060081481934
return point 2, result=0.0005500316619873047, sub_result=0.0005502104759216309
return point 3, result=0.004729843139648437, sub_result=0.0047283172607421875
return point 2, result=0.0006320476531982422, sub_result=0.0006322264671325684
return point 2, result=0.0006034374237060547, sub_result=0.0006036162376403809
return point 2, result=0.0006072521209716797, sub_result=0.0006074309349060059
return point 2, result=0.0005786418914794922, sub_result=0.0005788207054138184
return point 2, result=0.0006034374237060547, sub_result=0.0006036162376403809
return point 2, result=0.0005748271942138672, sub_result=0.0005750060081481934
return point 2, result=0.0005786418914794922, sub_result=0.0005788207054138184
return point 2, result=0.0005500316619873047, sub_result=0.0005502104759216309
return point 3, result=0.004729843139648437, sub_result=0.0047283172607421875
return point 2, result=0.0005767345428466797, sub_result=0.0005769133567810059
return point 2, result=0.0005519390106201172, sub_result=0.0005521178245544434
return point 2, result=0.0005519390106201172, sub_result=0.0005521178245544434
return point 2, result=0.0005271434783935547, sub_result=0.0005273222923278809
return point 2, result=0.0005481243133544922, sub_result=0.0005483031272888184
return point 2, result=0.0005233287811279297, sub_result=0.0005235075950622559
return point 2, result=0.0005233287811279297, sub_result=0.0005235075950622559
return point 2, result=0.0004985332489013672, sub_result=0.0004987120628356934
return point 3, result=0.004302597045898437, sub_result=0.0043010711669921875
return point 2, result=0.0006320476531982422, sub_result=0.0006322264671325684
return point 2, result=0.0006034374237060547, sub_result=0.0006036162376403809
return point 2, result=0.0006034374237060547, sub_result=0.0006036162376403809
return point 2, result=0.0005748271942138672, sub_result=0.0005750060081481934
return point 2, result=0.0006072521209716797, sub_result=0.0006074309349060059
return point 2, result=0.0005786418914794922, sub_result=0.0005788207054138184
return point 2, result=0.0005786418914794922, sub_result=0.0005788207054138184
return point 2, result=0.0005500316619873047, sub_result=0.0005502104759216309
return point 3, result=0.004729843139648437, sub_result=0.0047283172607421875
return point 2, result=0.0005767345428466797, sub_result=0.0005769133567810059
return point 2, result=0.0005519390106201172, sub_result=0.0005521178245544434
return point 2, result=0.0005481243133544922, sub_result=0.0005483031272888184
return point 2, result=0.0005233287811279297, sub_result=0.0005235075950622559
return point 2, result=0.0005519390106201172, sub_result=0.0005521178245544434
return point 2, result=0.0005271434783935547, sub_result=0.0005273222923278809
return point 2, result=0.0005233287811279297, sub_result=0.0005235075950622559
return point 2, result=0.0004985332489013672, sub_result=0.0004987120628356934
return point 3, result=0.004302597045898437, sub_result=0.0043010711669921875
return point 2, result=0.0005767345428466797, sub_result=0.0005769133567810059
return point 2, result=0.0005481243133544922, sub_result=0.0005483031272888184
return point 2, result=0.0005519390106201172, sub_result=0.0005521178245544434
return point 2, result=0.0005233287811279297, sub_result=0.0005235075950622559
return point 2, result=0.0005519390106201172, sub_result=0.0005521178245544434
return point 2, result=0.0005233287811279297, sub_result=0.0005235075950622559
return point 2, result=0.0005271434783935547, sub_result=0.0005273222923278809
return point 2, result=0.0004985332489013672, sub_result=0.0004987120628356934
return point 3, result=0.004302597045898437, sub_result=0.0043010711669921875
return point 2, result=0.0005214214324951172, sub_result=0.0005216002464294434
return point 2, result=0.0004966259002685547, sub_result=0.0004968047142028809
return point 2, result=0.0004966259002685547, sub_result=0.0004968047142028809
return point 2, result=0.0004718303680419922, sub_result=0.00047200918197631836
return point 2, result=0.0004966259002685547, sub_result=0.0004968047142028809
return point 2, result=0.0004718303680419922, sub_result=0.00047200918197631836
return point 2, result=0.0004718303680419922, sub_result=0.00047200918197631836
return point 2, result=0.0004470348358154297, sub_result=0.00044721364974975586
return point 3, result=0.003875350952148437, sub_result=0.0038738250732421875
return point 3, result=0.036129760742187496, sub_result=0.03607177734375
return point 2, result=0.0005843639373779297, sub_result=0.0005845427513122559
return point 2, result=0.0005633831024169922, sub_result=0.0005635619163513184
return point 2, result=0.0005557537078857422, sub_result=0.0005559325218200684
return point 2, result=0.0005347728729248047, sub_result=0.0005349516868591309
return point 2, result=0.0005557537078857422, sub_result=0.0005559325218200684
return point 2, result=0.0005347728729248047, sub_result=0.0005349516868591309
return point 2, result=0.0005271434783935547, sub_result=0.0005273222923278809
return point 2, result=0.0005061626434326172, sub_result=0.0005063414573669434
return point 3, result=0.004363632202148437, sub_result=0.0043621063232421875
return point 2, result=0.0005443096160888672, sub_result=0.0005444884300231934
return point 2, result=0.0005271434783935547, sub_result=0.0005273222923278809
return point 2, result=0.0005156993865966797, sub_result=0.0005158782005310059
return point 2, result=0.0004985332489013672, sub_result=0.0004987120628356934
return point 2, result=0.0005156993865966797, sub_result=0.0005158782005310059
return point 2, result=0.0004985332489013672, sub_result=0.0004987120628356934
return point 2, result=0.0004870891571044922, sub_result=0.00048726797103881836
return point 2, result=0.0004699230194091797, sub_result=0.00047010183334350586
return point 3, result=0.004058456420898437, sub_result=0.0040569305419921875
return point 2, result=0.0005290508270263672, sub_result=0.0005292296409606934
return point 2, result=0.0005080699920654297, sub_result=0.0005082488059997559
return point 2, result=0.0005042552947998047, sub_result=0.0005044341087341309
return point 2, result=0.0004832744598388672, sub_result=0.00048345327377319336
return point 2, result=0.0005004405975341797, sub_result=0.0005006194114685059
return point 2, result=0.0004794597625732422, sub_result=0.00047963857650756836
return point 2, result=0.0004756450653076172, sub_result=0.00047582387924194336
return point 2, result=0.0004546642303466797, sub_result=0.00045484304428100586
return point 3, result=0.003936386108398437, sub_result=0.0039348602294921875
return point 2, result=0.0004889965057373047, sub_result=0.0004891753196716309
return point 2, result=0.0004718303680419922, sub_result=0.00047200918197631836
return point 2, result=0.0004642009735107422, sub_result=0.00046437978744506836
return point 2, result=0.0004470348358154297, sub_result=0.00044721364974975586
return point 2, result=0.0004603862762451172, sub_result=0.00046056509017944336
return point 2, result=0.0004432201385498047, sub_result=0.00044339895248413086
return point 2, result=0.0004355907440185547, sub_result=0.00043576955795288086
return point 2, result=0.0004184246063232422, sub_result=0.00041860342025756836
return point 3, result=0.003631210327148437, sub_result=0.0036296844482421875
return point 2, result=0.0005290508270263672, sub_result=0.0005292296409606934
return point 2, result=0.0005080699920654297, sub_result=0.0005082488059997559
return point 2, result=0.0005004405975341797, sub_result=0.0005006194114685059
return point 2, result=0.0004794597625732422, sub_result=0.00047963857650756836
return point 2, result=0.0005042552947998047, sub_result=0.0005044341087341309
return point 2, result=0.0004832744598388672, sub_result=0.00048345327377319336
return point 2, result=0.0004756450653076172, sub_result=0.00047582387924194336
return point 2, result=0.0004546642303466797, sub_result=0.00045484304428100586
return point 3, result=0.003936386108398437, sub_result=0.0039348602294921875
return point 2, result=0.0004889965057373047, sub_result=0.0004891753196716309
return point 2, result=0.0004718303680419922, sub_result=0.00047200918197631836
return point 2, result=0.0004603862762451172, sub_result=0.00046056509017944336
return point 2, result=0.0004432201385498047, sub_result=0.00044339895248413086
return point 2, result=0.0004642009735107422, sub_result=0.00046437978744506836
return point 2, result=0.0004470348358154297, sub_result=0.00044721364974975586
return point 2, result=0.0004355907440185547, sub_result=0.00043576955795288086
return point 2, result=0.0004184246063232422, sub_result=0.00041860342025756836
return point 3, result=0.003631210327148437, sub_result=0.0036296844482421875
return point 2, result=0.0004737377166748047, sub_result=0.00047391653060913086
return point 2, result=0.0004527568817138672, sub_result=0.00045293569564819336
return point 2, result=0.0004489421844482422, sub_result=0.00044912099838256836
return point 2, result=0.0004279613494873047, sub_result=0.00042814016342163086
return point 2, result=0.0004489421844482422, sub_result=0.00044912099838256836
return point 2, result=0.0004279613494873047, sub_result=0.00042814016342163086
return point 2, result=0.0004241466522216797, sub_result=0.00042432546615600586
return point 2, result=0.0004031658172607422, sub_result=0.00040334463119506836
